date,filtered,smoothed
2023-09-01,0.02562765125132152,0.000737992111084735
2023-09-05,0.016163750645583026,0.0007451507094665654
2023-09-06,0.014666898883047388,0.0007927982098308663
2023-09-07,0.01760434768679626,0.0006977729695915576
2023-09-08,0.014153818239371218,0.0007027104573435325
2023-09-11,0.010417767016530693,0.0009307522488511919
2023-09-12,0.010406954791953662,0.0013173779232848288
2023-09-13,0.012298480496406371,0.0018049411073196877
2023-09-14,0.009504607303425271,0.003069206530306731
2023-09-15,0.011888684938473502,0.0048123627749428
2023-09-18,0.03599028138795371,0.00497428638717548
2023-09-19,0.02150242847703689,0.0064240136209438355
2023-09-20,0.015462270254390523,0.009736812732515315
2023-09-21,0.025754577770697652,0.012458975459338053
2023-09-22,0.16000610557561637,0.009327208018718064
2023-09-25,0.09744371288775851,0.008158973479707374
2023-09-26,0.05650909681413492,0.008478547515412247
2023-09-27,0.19169791059310795,0.004940929796967486
2023-09-28,0.10813258527565735,0.00345622128032326
2023-09-29,0.06778842344293644,0.002840749559906176
2023-10-02,0.04219583907404462,0.002877868295267758
2023-10-03,0.025179255261753224,0.0037361404844720443
2023-10-04,0.07898118678992783,0.0027618612357970806
2023-10-05,0.05564684719976055,0.0022754069319563318
2023-10-06,0.0322547127202175,0.0024449890208306686
2023-10-09,0.04301167749518861,0.002202642725397207
2023-10-10,0.02982128554617208,0.0023729636174732466
2023-10-11,0.020235503088384676,0.0031463812857550357
2023-10-12,0.0141504805769266,0.00503426556868908
2023-10-13,0.015969808498423464,0.0076348142227927775
2023-10-16,0.015443806490011707,0.011857687824437491
2023-10-17,0.02031868633024153,0.01660323653713401
2023-10-18,0.013721669359701351,0.027338993974685647
2023-10-19,0.05114483019430802,0.030845852470491104
2023-10-20,0.06231543542552664,0.03404565445409627
2023-10-23,0.1314029321288517,0.0336678623820296
2023-10-24,0.07769683536588123,0.03663391946589692
2023-10-25,0.055997548016758845,0.042704080240412265
2023-10-26,0.17805733905388216,0.04171807436390918
2023-10-27,0.30145431828079644,0.03693707592075138
2023-10-30,0.22077479150170187,0.035025365507019214
2023-10-31,0.2466584619021737,0.03250980182810026
2023-11-01,0.16379732077540587,0.03271619739544519
2023-11-02,0.15892134694881693,0.03328004753188677
2023-11-03,0.5059574737730353,0.02267904833669918
2023-11-06,0.44042669545848734,0.015105167607794009
2023-11-07,0.28166533573410446,0.01197850939699377
2023-11-08,0.16607307581909003,0.011238552218662516
2023-11-09,0.09248673072710556,0.012455014546167155
2023-11-10,0.09313864781739678,0.013807817016052878
2023-11-13,0.19607645939776555,0.01244601189017079
2023-11-14,0.11436082181391062,0.01304518922695454
2023-11-15,0.43128452500641895,0.006209367306647649
2023-11-16,0.2738864308690025,0.003110559483627817
2023-11-17,0.15903448821019045,0.0017298764480281861
2023-11-20,0.08808182343459858,0.0011563834524820679
2023-11-21,0.06396641370786732,0.0007344894253095679
2023-11-22,0.03943230205813906,0.0005090190515192936
2023-11-24,0.024117158243689818,0.000398622889121244
2023-11-27,0.01547276364438628,0.0003614955665619232
2023-11-28,0.01199679535371246,0.0003336877043776915
2023-11-29,0.00936489383288693,0.00034043362640842146
2023-11-30,0.008338180872691765,0.0003684877685635319
2023-12-01,0.005803381161568728,0.00042642313467510954
2023-12-04,0.00630303562971089,0.0004824441597595303
2023-12-05,0.007561691221943032,0.00044594430156751416
2023-12-06,0.006441902790075015,0.0004953862178191842
2023-12-07,0.006956844608888942,0.0005259939676896875
2023-12-08,0.007930525140307423,0.0005034570295211967
2023-12-11,0.006962992253709577,0.000567060234707338
2023-12-12,0.006333612921784731,0.0007644837391986081
2023-12-13,0.006158536995292001,0.0011826393769046087
2023-12-14,0.016044124608429015,0.000891803950530761
2023-12-15,0.011017289712623312,0.0008797178611462105
2023-12-18,0.008601717295911164,0.0010971141910894732
2023-12-19,0.007828870866454271,0.0015892935544827215
2023-12-20,0.007586391998376719,0.0025288192814595972
2023-12-21,0.028825177610029708,0.0017326210008766676
2023-12-22,0.02720142929390126,0.0009802764046097164
2023-12-26,0.016626690252360053,0.0006574678518133784
2023-12-27,0.011710545361915974,0.0005128703219515945
2023-12-28,0.008511353990228262,0.000502471833114452
2023-12-29,0.00687665406466316,0.0006147965036598656
2024-01-02,0.006728356669347968,0.0008167344868770416
2024-01-03,0.008097171660454377,0.0009894791268345335
2024-01-04,0.011959533372390849,0.0008805163566781146
2024-01-05,0.009847586858323773,0.0009198617596407223
2024-01-08,0.0075319978876131405,0.0012763204088561215
2024-01-09,0.019573747180967434,0.0008193348857796959
2024-01-10,0.0132273918993396,0.0006159511727845036
2024-01-11,0.010559643425187169,0.0005053589476498323
2024-01-12,0.008050048305769653,0.0005073916122424079
2024-01-16,0.006617956554495426,0.0006382988629360663
2024-01-17,0.006895477801058847,0.0008271621351504741
2024-01-18,0.008186226128257892,0.0009911059593669107
2024-01-19,0.009856242472592949,0.0011090965153410597
2024-01-22,0.01738879104031808,0.0007413794003743164
2024-01-23,0.011494539764471894,0.0006296170626044559
2024-01-24,0.00853911422461196,0.0006910592183802985
2024-01-25,0.006857506525214464,0.0009783581231419662
2024-01-26,0.006736764111605964,0.001537843382300649
2024-01-29,0.006184515337370196,0.0027459660345537404
2024-01-30,0.0075987785533013314,0.004561170177864181
2024-01-31,0.006547947469260272,0.008532276796882015
2024-02-01,0.044558078812356815,0.007397802105668504
2024-02-02,0.06352797495365489,0.005223042963648495
2024-02-05,0.06242578304850798,0.0031571706038098207
2024-02-06,0.04128158726331798,0.0020350466495344817
2024-02-07,0.024440555912779494,0.0016626458843653532
2024-02-08,0.02107221627813244,0.0014188292477711696
2024-02-09,0.01341280042463377,0.0016295207410642536
2024-02-12,0.010747883649297182,0.0022383343685525845
2024-02-13,0.008148830855901972,0.0037496419007597304
2024-02-14,0.029612067595188578,0.0032107435036864587
2024-02-15,0.026710731228770285,0.0028620334515054107
2024-02-16,0.020134393549212554,0.00297774378435689
2024-02-20,0.01663190597395067,0.0034626436147623015
2024-02-21,0.014943769246286214,0.004330324727551785
2024-02-22,0.010175422302689913,0.006725252932038168
2024-02-23,0.08978896420400495,0.003457028874070539
2024-02-26,0.050553047549178665,0.002008571398161911
2024-02-27,0.033880078475238634,0.0011822120526438016
2024-02-28,0.020129174529742663,0.0008590555431384391
2024-02-29,0.013438604865330458,0.0007825111491079412
2024-03-01,0.009738784509183192,0.0009259524918021636
2024-03-04,0.01162282930385315,0.0009618432936657976
