Date,Close,High,Low,Open,Volume,logReturn,pctReturn,rollingVol_20d,rollingVol_60d,ewmaVol
2021-11-23,157.66444396972656,158.04539332554327,155.36897034832776,157.38116514595987,96041900,0.0024194281057628346,0.0024223572837778207,0.19468658378054976,0.1951573900560433,0.19702617339738926
2021-11-24,158.18215942382812,158.37751541168896,155.9355283016625,157.0197711747025,69463600,0.0032782744040929885,0.0032836538224241263,0.1928980755323837,0.19423233710328172,0.19144881853748066
2021-11-26,153.171142578125,156.72667394842426,152.73158803573577,155.86710492688786,76959800,-0.03219140149380939,-0.03167877378811579,0.21724526894756319,0.20570729457741618,0.2238797454525178
2021-11-29,156.52154541015625,157.44949714116228,155.10518155763626,155.6717241177042,88748200,0.021637795665808455,0.02187359038810044,0.2153220834018962,0.20977343519306862,0.2327958511695029
2021-11-30,161.4641571044922,161.67905311784355,156.20899716750552,156.27737994661885,174048100,0.0310895097405188,0.031577836018575445,0.2334920126882012,0.21872246770087514,0.2560402799852501
2021-12-01,160.94647216796875,166.34814584365344,160.71203606659066,163.5935775451036,152052500,-0.0032113419001500473,-0.003206191056931651,0.23528748187093126,0.21687765944954987,0.24855413043126157
2021-12-02,159.95985412597656,160.38964606969503,154.1381675375188,155.05635670733542,136739200,-0.006148966659749316,-0.006130100453289322,0.23757391529864066,0.21616712339271751,0.2421654195974989
2021-12-03,158.08445739746094,161.13206712633752,156.0136573148525,160.2138776845153,118023100,-0.011793441336220456,-0.011724171285119156,0.24279584451686595,0.21718038111769505,0.239224610212227
2021-12-06,161.48367309570312,163.98426461858526,160.46779847409405,160.47756105335333,107497000,0.021274611468235626,0.021502529433970574,0.25081396486671703,0.20892502123093307,0.24624816501115515
2021-12-07,167.20773315429688,167.59846003217984,164.43363939250656,165.15647293806026,120405400,0.034832908334303046,0.035446679833702976,0.26972391107995647,0.21962262904206398,0.2744912413371908
2021-12-08,171.01722717285156,171.8768113251432,166.73886138447926,168.13568563195315,116998900,0.022527344625351893,0.022783001400056957,0.2751300543146107,0.222056572664981,0.280174644936559
2021-12-09,170.50926208496094,172.64844463234323,169.8841141404718,170.85114615502485,108923700,-0.0029746768021641406,-0.0029702568348697334,0.2596724743852099,0.22225959196832218,0.2718855533874806
2021-12-10,175.28579711914062,175.46162790674452,170.63625994665398,171.14419733842757,115402700,0.027628149890744656,0.028013346464426325,0.2662542075247932,0.22786686133652706,0.2846537662637114
2021-12-13,171.66189575195312,177.9036129181879,171.45676231906222,176.91704079075095,153237000,-0.02089094834458728,-0.020674244158665922,0.28669092381531047,0.228880050304773,0.28768897840723806
2021-12-14,170.2846221923828,173.6154957034132,168.21382219359762,171.18327152968024,139380400,-0.008055534623582477,-0.008023175752179923,0.29105889540841073,0.22427530095742007,0.28067813054604895
2021-12-15,175.1392822265625,175.33463817394934,168.31148231582245,171.0465102933484,131063300,0.02811027055215631,0.028509092434048533,0.3000416827446241,0.22995241470551353,0.2932593260645067
2021-12-16,168.26263427734375,176.9365751900634,166.78767978084602,175.11973661793166,150185800,-0.040055497808922175,-0.03926388107679368,0.34423706031898654,0.24519820339986856,0.3241915284268779
2021-12-17,167.16867065429688,169.44460445182293,165.75232109747262,165.98674232333192,195432700,-0.0065227513689642665,-0.0065015244040677045,0.3362591711275198,0.24579641644761316,0.31533702306120076
2021-12-20,165.81089782714844,166.62163920449956,163.5740445559153,164.375008447403,107499100,-0.008155337330363164,-0.008122172784135517,0.33534293846752844,0.246750784245784,0.3073708116821295
2021-12-21,168.97572326660156,169.18084181030284,165.1955175809284,167.57889907243998,91185900,0.01890708600091535,0.01908695677380834,0.3401942560512206,0.2475021300442188,0.30694180683885164
2021-12-22,171.564208984375,171.77910499631244,168.15519034473417,169.02453697313442,92135300,0.015202537653023679,0.015318684055516396,0.3426306261201173,0.24222891376438682,0.3034056158723401
2021-12-23,172.18934631347656,172.74612637491737,171.20278915942293,171.76933180091095,68356600,0.003637129033946072,0.0036437514141338667,0.3426198505694007,0.24215443499223757,0.2945024409701188
2021-12-27,176.1453857421875,176.2332936859138,172.96104046356876,172.9805656257053,74919600,0.022714987414098272,0.02297493726184907,0.31985815589503924,0.24377874920573228,0.29888001396855424
2021-12-28,175.12954711914062,177.12221701690328,174.38718837755263,175.97936879820426,79144300,-0.005783740083930815,-0.005767046458620806,0.3180052180141086,0.24445737334526688,0.29064634166483605
2021-12-29,175.21743774414062,176.4384311169709,174.00620695259946,175.16859502828655,62348900,0.0005017347409344044,0.0005018606308631046,0.30372324127626565,0.2371306409943452,0.2817988368367539
2021-12-30,174.06480407714844,176.3798175385403,173.95735606919604,175.30533745901636,59773000,-0.0066000369505528145,-0.006578304544524349,0.30503862316416747,0.23726319964074036,0.27441680697572873
2021-12-31,173.44943237304688,175.0709001571645,173.14661351296067,173.9573548573712,64062300,-0.0035415662597815833,-0.0035353023109072623,0.30403611400262803,0.23769787971051784,0.2664131273234938
2022-01-03,177.78636169433594,178.63618304508262,173.58615726537937,173.70336783595081,104487900,0.024696513414421962,0.025003998352450152,0.30640053021371955,0.2413238414607575,0.27557095982900187
2022-01-04,175.52999877929688,178.69481886787932,174.96345608354855,178.39201490568885,99310400,-0.01277265274276265,-0.012691428597421783,0.3075339968262801,0.24339133040378744,0.2717529749925311
2022-01-05,170.86090087890625,175.98907226585013,170.58739959731207,175.44206970266174,94537600,-0.026960181189839633,-0.026599999617508807,0.3040204188698804,0.2513110992875591,0.2835642631987733
2022-01-06,168.00869750976562,171.23212317548703,167.65705080251047,168.69245085589924,96904000,-0.016834031369375547,-0.01669313081266066,0.2992608470407338,0.25343614302104234,0.2826109432015852
2022-01-07,168.17474365234375,170.0990304259398,167.06119827767387,168.878037036841,86709100,0.0009878306647501626,0.000988318730156701,0.29922483307651565,0.25299887195751125,0.2740283976939547
2022-01-10,168.19424438476562,168.4970482896935,164.26752639043735,165.1564129469489,106765600,0.00011594845623275335,0.00011595517851481496,0.28001197668570926,0.250678651929641,0.26568077132548773
2022-01-11,171.01722717285156,171.1148977053451,166.85608689005863,168.3212790198075,76138300,0.016644767053602978,0.016784062964889657,0.2782344991685645,0.25207266459718203,0.2655937984280555
2022-01-12,171.456787109375,173.06849253983535,170.76327115991117,172.03309245435602,74805200,0.0025669695192020326,0.0025702670063709743,0.27680199446814896,0.2514435238814869,0.2576961243892217
2022-01-13,168.19424438476562,172.52143678948505,167.80351764880953,171.7009330010287,84505800,-0.019211736572805064,-0.01902836731991342,0.26453690990632106,0.2542547548618624,0.26077482279643427
2022-01-14,169.05384826660156,169.7473640846977,167.1197842307582,167.36398288031089,80440800,0.005097764892520292,0.005110780603582832,0.2238650954585558,0.25430596638480835,0.2536064358027219
2022-01-18,165.8597412109375,168.53614912039677,165.47879187832885,167.53005178287384,90956700,-0.01907479423247729,-0.01889402157013831,0.23313230121831482,0.2581153072832206,0.25682412110605596
2022-01-19,162.3726043701172,167.11006537282074,162.08934042059263,166.05512514217625,94815000,-0.021248777540483647,-0.02102461281659318,0.24332446965378815,0.2621196511165463,0.2623508164673677
2022-01-20,160.69247436523438,165.74250066133902,160.3701303584997,163.10515822088573,91420500,-0.010401279882875578,-0.010347373631164225,0.23348711256838942,0.2632925787136689,0.25755398577743205
2022-01-21,158.64120483398438,162.4702376425932,158.5337568383858,160.604556493883,122848900,-0.012847362361691003,-0.012765187289279778,0.22638096962415968,0.2649009052066985,0.2546559239750735
2022-01-24,157.86953735351562,158.53376542721094,151.11012055841888,156.30667494751387,162294600,-0.004876099964809852,-0.0048642310884885465,0.22462397788709446,0.2650516190057309,0.2476250384427407
2022-01-25,156.072265625,158.98310983768695,153.3763174519784,155.29082683573563,115798400,-0.011449837813459462,-0.011384537882637935,0.20160081540209487,0.2618162565203561,0.24417469919624168
2022-01-26,155.98434448242188,160.57527648713483,154.15774320444362,159.70592982008216,108275300,-0.0005634948407232755,-0.0005633361073220655,0.2025414910854248,0.2587901299868081,0.236746293959643
2022-01-27,155.52523803710938,160.03802433796415,154.60704872462142,158.68028043462846,121954600,-0.0029476253925234206,-0.0029432854100575057,0.20148801695489696,0.2585516796161449,0.22982003675198218
2022-01-28,166.37742614746094,166.39696621279427,159.02216399560837,161.86463986114418,179935700,0.06745083807381193,0.06977766597445845,0.3292941480091304,0.2919284016222621,0.3441488072837659
2022-01-31,170.72413635253906,170.9390323284137,165.5764253199615,166.2113506685732,115541600,0.0257901571161399,0.026125600724377307,0.343913788152428,0.29554252023102806,0.34840909343351684
2022-02-01,170.55810546875,170.78276405312576,168.31147491088436,169.97202274767105,86213900,-0.0009729829246397898,-0.0009725097302364372,0.33049002548775813,0.2953716817588951,0.3378163356677743
2022-02-02,171.75955200195312,171.79863213102016,169.30780301992357,170.69484950775998,84914300,0.007019512083431195,0.007044206605726355,0.32945897466410073,0.2955120248841252,0.3286604632743198
2022-02-03,168.8877716064453,172.15027672857178,168.12587305039293,170.43110878285196,89418100,-0.016861124293789727,-0.01671977111046008,0.32077526834663816,0.2977281192810536,0.32532324924721034
2022-02-04,168.60414123535156,170.27659447810953,166.9316879925936,167.9097269846018,82465400,-0.0016808132407081457,-0.0016794014652208311,0.31505053360523033,0.29784068193134855,0.3154802997398521
2022-02-07,167.8901824951172,170.129885294368,167.19576822143142,169.06382633955357,77251200,-0.004243517713462887,-0.004234526714487874,0.31541897607606506,0.2947546550960998,0.3063142551112947
2022-02-08,170.99053955078125,171.4991239481133,167.66519839738126,167.95861304675316,74829200,0.018298140667882667,0.018466577435248377,0.3221045682083972,0.296457217559339,0.3053870092588691
2022-02-09,172.40872192382812,172.77059159545334,171.05902326407136,172.18377712176584,71285000,0.008259717447621226,0.008293923025055383,0.317991223110253,0.2957258925847187,0.2978205544203217
2022-02-10,168.340087890625,171.62629991772872,167.78261335475796,170.31573108381698,90865900,-0.023881682270259216,-0.02359877149951084,0.32926559643561026,0.30067252376852155,0.3033129062004208
2022-02-11,164.93653869628906,169.2790353586412,164.34970917619486,168.54550592037077,98670700,-0.02042547992936541,-0.020218292843872776,0.33018692708830555,0.3041056095232302,0.3046093619810389
2022-02-14,165.1712646484375,165.8558891027738,162.9022065441299,163.69441590726865,86185500,0.0014221171952292,0.0014231288834105627,0.32954703501026483,0.30260210511585844,0.29538150001639973
2022-02-15,168.995361328125,169.15185115822308,166.5111487010071,167.21533801275692,62527400,0.022888363632797865,0.023152312164146593,0.3329401252795458,0.3008232552537966,0.29989371421956196
2022-02-16,168.76065063476562,169.53329496166765,166.31555287107355,168.0760262456703,61177400,-0.0013898241501381916,-0.0013888587918319262,0.32269405653740885,0.2991764105517433,0.29080796309517526
2022-02-17,165.1712646484375,168.1347222265384,164.7702649952927,167.27404295611913,69589300,-0.021498539482659736,-0.021269093078435275,0.3306250210855265,0.30274860465794096,0.2940805766756615
2022-02-18,163.62594604492188,166.7947832093295,162.54032203615824,166.09060878011084,82772700,-0.009399897150508735,-0.009355856218724257,0.3288800464590689,0.30344934927748196,0.2874549641383693
2022-02-22,160.71141052246094,163.02935867994262,158.58905229899906,161.35690506054718,91162800,-0.01797273065978375,-0.017812184393181663,0.33549164249665764,0.30577021124862236,0.2873266138378848
2022-02-23,156.5547637939453,162.50122982841887,156.24178404281724,161.904625236065,90009200,-0.02620439817534981,-0.02586404235394779,0.3465949362391131,0.3032920615352913,0.296623744417746
2022-02-24,159.16607666015625,159.27366155009665,148.66193213542687,149.2291965620497,141147500,0.01654228723325645,0.016679868455794278,0.35141028631521154,0.30194226503363447,0.2946931517407596
2022-02-25,161.22976684570312,161.4938266826065,157.3371601146723,160.24193771015948,91974200,0.012882306478502753,0.012965640850425508,0.35353202655785676,0.29625906917905037,0.29007349452068876
2022-02-28,161.49380493164062,161.78721963459702,158.86287747049465,159.47904685433394,95056600,0.0016363114934381947,0.0016376509815969609,0.254853024107256,0.29620289408052175,0.2813086531222017
2022-03-01,159.615966796875,162.94130845487337,158.4129829679633,161.08302534266187,83474400,-0.011696059771841173,-0.011627926752735163,0.23564715547856052,0.29691655648691223,0.276504733725557
2022-03-02,162.90220642089844,163.68464076398826,159.37148431939156,160.77986315221446,79724800,0.020379337551674922,0.020588414116524234,0.25025669586319416,0.2987899835460916,0.2795481618251938
2022-03-03,162.5794677734375,165.20062084345977,161.9144082164394,164.7702811660162,76678400,-0.0019831454660775363,-0.0019811803323710464,0.24784053883642815,0.29566869055429584,0.2711416774051182
2022-03-04,159.586669921875,161.91440821879274,158.54017563689038,160.8776889542246,83737200,-0.01857975494950982,-0.01840821533339687,0.24920999794540274,0.2890681474913094,0.2726284558837046
2022-03-07,155.8016357421875,161.3960207362876,155.54733601828758,159.7724722055909,96418800,-0.02400352736618939,-0.023717733953220854,0.2601967909623004,0.2887743126489229,0.28031835235941027
2022-03-08,153.98252868652344,159.30306551959637,152.3785446345262,155.33222786182864,131148300,-0.011744486478445703,-0.011675789198222764,0.2616677358013437,0.28951705972726405,0.2755888646960864
2022-03-09,159.37147521972656,159.8213797915154,155.90922322313332,157.9337564869507,91454900,0.03439865350956884,0.03499712973394464,0.28530280993668505,0.2927607123795557,0.29880306480434954
2022-03-10,155.03875732421875,156.86768560681452,152.55452973284972,156.68185579600046,105342000,-0.027562666484073246,-0.02718628217210306,0.2938953085381054,0.2949508414775372,0.3088898639806966
2022-03-11,151.33197021484375,155.78205064733166,151.10702542359093,155.43973102802846,96970100,-0.024199230973895564,-0.023908777220287725,0.2941634963951874,0.29827403893504434,0.3139147738085913
2022-03-14,147.31224060058594,150.73537736075448,146.80367102699051,148.1240148231261,108732100,-0.02692148212547187,-0.026562329219338543,0.2994424952529842,0.2958849296166306,0.3218515201825874
2022-03-15,151.68409729003906,152.15356685525754,147.07754097449947,147.58611061794517,92964300,0.029245631049988844,0.029677484176666047,0.32348094288158213,0.2927686777210617,0.33212247416601365
2022-03-16,156.08526611328125,156.48626575095446,151.06793536575267,153.60105321090987,102300200,0.028602384713331548,0.029015360884052432,0.3304029520513914,0.29909347990364327,0.3406708606765205
2022-03-17,157.0926513671875,157.46431103838808,154.16832371335292,155.12679794973494,75615400,0.006433331803594423,0.006454070130970102,0.33237539623362133,0.29912697225500423,0.3312386150460644
2022-03-18,160.37887573242188,160.8678953686917,156.25154880840884,156.9850782628136,123511700,0.020703221947540734,0.020919020314662307,0.33594252315971695,0.2996571434469119,0.33108407494893927
2022-03-21,161.7481231689453,162.69682236043158,159.4301601813594,159.9191797677464,95811400,0.008501340699754301,0.008537579717218469,0.33634893101195373,0.2984341390272171,0.3226955677482259
2022-03-22,165.11256408691406,165.69937857870127,161.2884277154457,161.8752422072329,81532000,0.020587117860295427,0.0208004943244664,0.33774541419183846,0.3015599704336192,0.3229439340430619
2022-03-23,166.4720458984375,168.84867380689857,163.9682532045546,164.30079784879288,98062700,0.008199954932293089,0.008233666644579696,0.3222399353742236,0.2981946930896605,0.31472507858093945
2022-03-24,170.24728393554688,170.31573891650316,166.4720521767643,167.30337650948087,90131400,0.022424588690408916,0.022677909775990823,0.32615417438189725,0.3018198299859556,0.3173516010876172
2022-03-25,170.88302612304688,171.4307257382337,168.95628752581777,170.06147670026667,80546200,0.003727273154930856,0.003734228075795265,0.32422428205871934,0.30193660906771347,0.30802495349483333
2022-03-28,171.74366760253906,171.87080253422522,168.22272096176943,168.38898581373743,90371900,0.005023795900099122,0.005036436321489646,0.3242711062309694,0.30185972612567935,0.29927949505217005
2022-03-29,175.02987670898438,175.0787667230212,172.467404224187,172.80972386459516,100589400,0.01895362283462427,0.019134382957574303,0.32400237692188183,0.30431410524554914,0.2993757325598481
2022-03-30,173.8660125732422,175.66560091058673,172.8195035873902,174.628881866762,92633200,-0.006671723506305459,-0.006649516971764191,0.3207517526564558,0.30027085233419537,0.29141259296144895
2022-03-31,170.7754364013672,174.12032889178556,170.57004158960083,173.9344990439243,103049300,-0.017935503865037634,-0.01777562000838473,0.32909786419125875,0.3013659872987353,0.29101521907897365
2022-04-01,170.4820098876953,171.0394993928561,168.1640617684755,170.20816010667752,78751300,-0.0017196787303842345,-0.0017182009301516254,0.3201214899158366,0.29628179345523975,0.2822289506249782
2022-04-04,174.52130126953125,174.5702062097959,170.60914482743888,170.7362946873885,76468400,0.023417027203573818,0.023693358522091534,0.31058640675283283,0.2980134859885817,0.2883836854643201
2022-04-05,171.2155303955078,174.38438259894033,170.58958593943765,173.60194829792937,73401800,-0.01912362998468431,-0.018941933448673898,0.31711096486654783,0.30074906786657774,0.28931786150043787
2022-04-06,168.0564727783203,169.81694627331598,166.3938091700385,168.57483234577828,89058800,-0.018623104111972075,-0.018450765592876284,0.30832012679228255,0.3032393251546959,0.2897006282121036
2022-04-07,168.3596649169922,169.55287391806212,166.11996174699982,167.401190693142,77594700,0.001802483215203952,0.0018041086645428361,0.2870363622978708,0.30127599776261166,0.28096261460718136
2022-04-08,166.3546600341797,168.0075484323814,165.48420586824818,168.0075484323814,76575500,-0.011980538120841912,-0.011909057218669639,0.2740288720906894,0.30216657110726997,0.27635812772325563
2022-04-11,162.10997009277344,165.31793693449984,161.8654603339608,165.00497220353915,72246700,-0.025847082836488924,-0.02551590644069801,0.2724045502346924,0.30422026077729825,0.28616888342981084
2022-04-12,163.97805786132812,166.13951616252308,162.98045368647982,164.3301525745867,79265200,0.011457692678334568,0.011523583450700814,0.25816620045489963,0.30500847438942186,0.281005349276674
2022-04-13,166.6578826904297,167.28382721520924,163.10761035124472,163.71398991233582,70618900,0.016210479163204318,0.01634258183108761,0.24589340363711049,0.30440598327491064,0.27964154558908716
