Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-08-30,422.6680908203125,423.4531772582027,421.24743377041483,421.4904469021432,48357400
2021-08-31,422.0419006347656,422.91110047218524,421.4437517278113,422.57464706002395,59300200
2021-09-01,422.26617431640625,423.49053835442544,422.03251662178167,422.97650283531857,48721400
2021-09-02,423.5653381347656,424.369106938718,422.36901184150173,423.68684470342555,42501000
2021-09-03,423.4624938964844,423.9765579301553,422.0325099688313,422.4344228744772,47170500
2021-09-07,421.9483947753906,423.2101520054819,421.27545948751975,423.1166832249812,51671500
2021-09-08,421.4343566894531,422.14468518971387,419.5183465302411,421.4156743425341,56181900
2021-09-09,419.6305847167969,422.98590616883826,419.38757155961514,421.23815097875956,57970400
2021-09-10,416.32196044921875,421.9764655786585,416.2004538773262,421.5558988174952,89948200
2021-09-13,417.3873596191406,419.57442052650157,415.07882068151736,419.3127250750678,83738600
2021-09-14,415.1349792480469,419.032373751366,414.24706856986353,418.8267538323482,78197100
2021-09-15,418.60247802734375,419.09783124683656,414.45271468859767,415.55557226819735,78792200
2021-09-16,417.9388732910156,419.05105771787464,414.99476341128366,418.0790622084627,77786700
2021-09-17,413.86767578125,417.59004823430996,413.51137369740354,417.168134146106,118425000
2021-09-20,406.9667663574219,409.3295710757895,402.10984707082173,407.75436793021106,166445500
2021-09-21,406.58233642578125,410.59537031179264,406.05726871090457,409.30144322368784,92526100
2021-09-22,410.5484924316406,412.5831513891095,406.6948671942367,408.85139337293356,102350100
2021-09-23,415.53662109375,417.1399803704705,412.17993634176355,412.41434258074156,76396000
2021-09-24,416.2210998535156,416.9337039803391,413.6895010133059,413.90516505538227,62094800
2021-09-27,415.03033447265625,416.3523605127942,414.33647253059087,415.18971469523467,61371100
2021-09-28,406.6667175292969,412.59251441684535,405.93537117136833,412.26433994291904,130436300
2021-09-29,407.3511657714844,409.77961092728947,406.78858508585967,408.0449990691309,82329200
2021-09-30,402.37237548828125,409.52642965582174,402.0348156347722,408.8232109595568,140506000
2021-10-01,407.154296875,408.8326537442385,400.58156466232106,404.0976586371233,129240100
2021-10-04,401.90362548828125,406.89176913571015,399.76581284989487,405.9916570765266,128570000
2021-10-05,406.0853576660156,408.3262663404989,402.6067772325321,403.4037355215152,90682500
2021-10-06,407.7730712890625,407.97934991567206,400.8721656243834,402.4942384202276,113032200
2021-10-07,411.29852294921875,414.1301397145414,410.86722352719846,411.0453745390407,72437500
2021-10-08,410.5484924316406,412.45189876084635,409.9202996692927,412.0674690550003,74557400
2021-10-11,407.5762634277344,412.79884218436496,407.5106228023292,409.89219860577384,65233300
2021-10-12,406.5729675292969,408.89828794249456,405.785365924999,408.49511604042164,71181200
2021-10-13,408.03558349609375,408.8513125536215,404.6226438533049,407.5948986632403,72974000
2021-10-14,414.8990478515625,415.0490712799511,411.2235453911505,411.69235787459854,70236800
2021-10-15,418.05889892578125,418.42458644967,416.38992739167634,417.00876339160925,66260200
2021-10-18,419.2964782714844,419.6340094982905,415.6209761000303,416.27732497087453,62213200
2021-10-19,422.5313720703125,422.59698407803893,420.30917663549167,420.9186558175996,46996800
2021-10-20,424.19091796875,424.4909648278342,422.878248727811,422.99075914645675,49571600
2021-10-21,425.29730224609375,425.5223230800388,423.15951848148666,423.59081795122904,41305400
2021-10-22,424.85662841796875,426.30996431243693,422.91573783259383,424.86601382430814,58845100
2021-10-25,427.1350402832031,427.4632147429343,424.17217058163135,425.9442668817109,45214500
2021-10-26,427.51953125,429.8917216010357,427.1444869339798,428.68220582792407,56075100
2021-10-27,425.62548828125,428.6446418796485,425.55046225853243,427.9789361517596,72438000
2021-10-28,429.7322998046875,429.80729721502064,427.0413206145411,427.050677407055,51437900
2021-10-29,430.604248046875,430.8949094853391,427.1444097745334,427.4350712129975,70162400
2021-11-01,431.3450012207031,431.96383713747196,429.61977470154915,431.5887642564896,48433600
2021-11-02,433.0889892578125,433.398421537022,431.38250486096626,431.51378609797507,48908400
2021-11-03,435.733154296875,436.1363262379375,432.085778783507,432.5264637419388,52509800
2021-11-04,437.7864685058594,437.87085131761023,435.9862160130472,436.33313266603705,52847100
2021-11-05,439.30548095703125,441.2932415636286,437.7959183013962,440.00869977242445,66390600
2021-11-08,439.68048095703125,440.89941061596096,438.9960330253521,440.4024705143944,50405200
2021-11-09,438.2271423339844,440.28054321030675,436.8207049454919,440.0461369788913,51149100
2021-11-10,434.7016296386719,438.2271082413826,433.2201949615556,436.53936633806717,69429700
2021-11-11,434.84234619140625,436.2675545379645,434.8236039920207,436.19252851233256,34848500
2021-11-12,438.1240234375,438.6772187538003,435.1611250038921,436.1081354103615,53466700
2021-11-15,438.2740478515625,439.56797493267015,437.14891501750157,439.40859470618256,46980500
2021-11-16,440.0086975097656,441.14321584749956,437.93655408966225,438.01155150607127,48857500
2021-11-17,438.9397888183594,439.9242836397509,438.3209528739824,439.7461325975495,47858300
2021-11-18,440.4306335449219,440.6931674194312,437.2520708292828,439.97117780399594,50625600
2021-11-19,439.6429748535156,441.5650945480242,439.2772873896782,440.31803734544474,57315600
2021-11-22,438.4053649902344,444.0029878555942,438.1990863283232,441.51828711942284,72762000
2021-11-23,438.9866638183594,439.8399060268832,435.4799553727706,438.0771663973215,73206500
2021-11-24,440.15869140625,440.2805872370219,436.17378507370955,436.98951426235885,61858800
2021-11-26,430.3417053222656,434.96418925297854,429.2165439866492,433.50149668510204,112669600
2021-11-29,435.62060546875,437.4583425612124,432.9296261441328,435.1236653350825,86268800
2021-11-30,427.1444091796875,435.0860934508205,426.9006175423312,433.18271599479897,148559600
2021-12-01,422.4000244140625,435.68618205628803,422.2031311937479,432.8451797070104,131939200
2021-12-02,428.86968994140625,430.43553635703284,422.22193180478286,422.61574691393747,127637800
2021-12-03,425.13787841796875,431.58871344638754,420.9185665300391,430.5292213858788,137331600
2021-12-06,430.1729431152344,432.04819294676213,425.2691545047344,427.6788574056175,98977500
2021-12-07,439.0710754394531,439.6336562155435,430.0417412560462,435.44247092403845,95484700
2021-12-08,440.2336120605469,440.6836822924531,437.71139890894136,439.4647814253452,72238800
2021-12-09,437.2613830566406,440.3367916207848,437.0644898372222,438.9490964511675,61272600
2021-12-10,441.3775329589844,441.52755637554407,437.4113979747184,439.9617388281514,77159800
2021-12-13,437.46771240234375,441.2088270752524,437.18640772794674,440.86191039613635,87724700
2021-12-14,434.4578857421875,436.6894377150197,431.5418858646757,434.2047373052017,97264100
2021-12-15,441.2462463378906,441.4900093337228,432.00125072662127,434.5141069927306,116899300
2021-12-16,437.3551940917969,443.3747305871484,435.80808994562267,443.0934545318682,116568600
2021-12-17,432.70050048828125,437.2827723193572,430.997439062657,434.28123782567144,135511600
2021-12-20,428.0993957519531,428.4945657060667,424.4862697414786,427.62893618734074,107134800
2021-12-21,435.7020568847656,435.8431890265247,429.3508520744213,431.5149548202637,69806300
2021-12-22,440.05841064453125,440.17131633051764,435.25029960943573,435.44791327448115,58890200
2021-12-23,442.7964782714844,444.2925360057626,440.95228510851217,441.05577241344565,56439700
2021-12-27,449.06304931640625,449.11008378457836,444.12322414632985,444.17025861450196,56808600
2021-12-28,448.69610595703125,450.5214913868531,447.93396375035627,449.4958929694086,47274600
2021-12-29,449.2701416015625,450.28632177473304,447.8023098433288,448.7996819684215,54503000
2021-12-30,448.0279846191406,450.7001910745442,447.5669435079559,449.6934008752194,55329000
2021-12-31,446.89892578125,448.68666632067624,446.6260799179109,447.5387725895835,65237400
2022-01-03,449.48651123046875,449.61825370387953,445.85457683489585,448.15981168840295,72668200
2022-01-04,449.3358459472656,451.6223008842784,447.48223441413006,450.9071932731494,71178700
2022-01-05,440.707763671875,449.74059423041956,440.6136660037969,448.96903355258615,104538900
2022-01-06,440.293701171875,443.0035528678846,437.9319849605687,440.2466667010779,86858900
2022-01-07,438.5529479980469,441.479221117935,437.1980222953608,440.3030723284207,85111600
2022-01-10,438.0072326660156,438.22362566846715,429.62364055153137,435.36325245373706,119362000
2022-01-11,441.9967041015625,442.0908017452963,434.7516162526011,437.74376052174716,74303100
2022-01-12,443.19171142578125,445.2429369205549,441.2346123000405,443.72804221308974,67605400
2022-01-13,437.085205078125,444.9418863252983,436.05960657182123,444.29264976490606,91173100
2022-01-14,437.2639465332031,437.6120820227763,432.7287093594842,433.9425030975037,95890900
2022-01-18,429.5201416015625,432.7851319574491,428.4098639787604,432.578128611285,109709100
2022-01-19,425.06024169921875,432.45585270815616,424.78736709556773,431.06331069209193,109357600
2022-01-20,420.3556213378906,431.6372325182061,418.2385532953383,426.9420552480534,122379700
2022-01-21,412.1037292480469,421.58818048554997,412.0755028255823,419.2358828982697,202271200
2022-01-24,413.85382080078125,414.3619251147175,395.901098425589,406.50524550753806,251783900
2022-01-25,408.8011169433594,413.7409421509055,401.9135823339121,407.47441758472695,167997300
2022-01-26,407.7754821777344,417.80568219701877,403.5225099061903,414.68182421507754,186391100
2022-01-27,405.761962890625,415.50048178403745,404.07773829561154,412.36723366568094,149878300
2022-01-28,415.8392028808594,415.886237349482,402.54401155859085,407.11686454826264,164457400
2022-01-31,423.3289489746094,423.6770844746201,413.82565957531546,415.17116710249303,152251400
2022-02-01,426.1893310546875,426.82914917104256,420.5343978995624,424.0534262540882,123155400
2022-02-02,430.3293762207031,431.05387362428513,426.28340667304684,428.58867006151223,117361000
2022-02-03,420.2144470214844,426.2080966836343,419.3770152968473,424.30745056905977,118024400
2022-02-04,422.1904602050781,426.0293979401201,417.60815954090174,419.9792943228935,118454400
2022-02-07,420.8354797363281,424.3450895509773,419.50878037886775,422.95254768054906,84472900
2022-02-08,424.2980041503906,425.2201150815416,418.9159464741092,420.3367433125656,81012000
2022-02-09,430.5080871582031,430.82799617234946,428.1275632375704,428.32514818742595,92589900
2022-02-10,422.77374267578125,430.6680383540824,420.778998939607,424.67438876665915,140103700
2022-02-11,414.4372253417969,424.92846773085336,413.00703862428105,422.85846290665194,153214600
2022-02-14,413.0822448730469,415.5098319487012,409.6196698794952,413.92909493615394,123006300
2022-02-15,419.7440185546875,419.9133771021189,416.99652213320917,417.5140448697904,88482700
2022-02-16,420.2144470214844,421.58818077331404,415.82976087005267,417.7021805621434,84863600
2022-02-17,411.2380676269531,420.18621676202645,410.63589438127366,417.03413227878895,102259100
2022-02-18,408.57525634765625,412.7435205102697,406.30763817495443,411.4920821949047,132642900
2022-02-22,404.190673828125,409.77031787811296,400.69984286814764,406.373613297068,124391800
2022-02-23,397.0208435058594,407.6626367061376,396.45628627766916,407.0980794779474,132578000
